date,rainfall_mm,reservoir_m,temp_c,disp_rate_mm_d
2024-08-30,0.29,151.16,22.2,0.403
2024-08-31,0.0,151.34,24.9,0.365
2024-09-01,0.0,151.56,28.2,0.338
2024-09-02,0.0,151.75,24.5,0.226
2024-09-03,0.0,151.92,27.4,0.176
2024-09-04,0.0,152.12,25.4,0.131
2024-09-05,0.0,152.33,25.5,0.123
2024-09-06,0.0,152.53,21.8,0.107
2024-09-07,0.0,152.72,26.2,0.121
2024-09-08,0.0,152.91,23.5,0.13
2024-09-09,0.0,153.08,25.8,0.096
2024-09-10,0.48,153.29,22.3,0.339
2024-09-11,0.45,153.5,24.1,0.552
2024-09-12,0.0,153.72,24.3,0.505
2024-09-13,0.0,153.9,23.2,0.468
2024-09-14,,154.08,24.1,0.384
2024-09-15,0.0,154.28,22.6,0.308
2024-09-16,0.0,154.47,21.7,0.292
2024-09-17,0.0,154.68,26.1,0.239
2024-09-18,0.0,154.87,24.8,0.208
2024-09-19,0.8500000000000001,155.06,21.0,0.654
2024-09-20,0.0,155.31,23.5,0.608
2024-09-21,0.0,155.47,20.7,0.451
2024-09-22,0.0,155.71,19.7,0.45
2024-09-23,0.0,155.89,24.0,0.367
2024-09-24,0.35000000000000003,156.1,18.3,0.52
2024-09-25,,156.3,23.4,0.491
2024-09-26,1.0,156.48,20.9,0.927
2024-09-27,1.3,156.66,20.8,1.511
2024-09-28,0.0,156.84,21.8,1.3
2024-09-29,0.0,157.05,22.0,1.123
2024-09-30,0.0,157.21,19.0,0.946
2024-10-01,0.0,157.39,21.9,0.787
2024-10-02,0.0,157.55,20.5,0.685
2024-10-03,0.0,157.74,17.6,0.629
2024-10-04,2.2,157.91,19.6,0.648
2024-10-05,9.5,158.08,22.5,1.07
2024-10-06,0.0,158.26,22.9,0.903
2024-10-07,0.0,158.41,20.8,0.765
2024-10-08,6.6,158.55,16.8,1.077
2024-10-09,0.0,158.67,19.9,0.89
2024-10-10,0.0,158.78,20.5,0.742
2024-10-11,2.9,158.97,20.0,0.828
2024-10-12,0.0,159.09,19.9,0.635
2024-10-13,0.0,159.25,18.9,0.491
2024-10-14,0.0,159.4,17.8,0.434
2024-10-15,3.6,159.54,16.5,0.579
2024-10-16,0.0,159.7,13.8,0.503
2024-10-17,0.0,159.81,18.0,0.471
2024-10-18,0.0,159.97,17.5,0.377
2024-10-19,0.0,160.08,18.1,0.273
2024-10-20,0.0,160.21,14.1,0.275
2024-10-21,0.0,160.31,17.8,0.194
2024-10-22,2.5,160.41,20.4,0.314
2024-10-23,0.0,160.51,16.3,0.276
2024-10-24,6.8,160.61,15.8,0.593
2024-10-25,1.7,160.7,16.3,0.604
2024-10-26,0.0,160.85,19.6,0.531
2024-10-27,0.0,160.94,13.3,0.423
2024-10-28,0.0,161.04,15.5,0.355
2024-10-29,0.0,161.16,13.3,0.383
2024-10-30,0.0,161.28,13.6,0.265
2024-10-31,0.0,161.37,14.4,0.229
2024-11-01,5.1,161.45,17.0,0.46
2024-11-02,0.0,161.51,17.7,0.423
2024-11-03,0.0,161.56,14.8,0.344
2024-11-04,0.0,161.6,12.9,0.304
2024-11-05,0.0,161.64,18.4,0.292
2024-11-06,0.0,161.73,12.4,0.245
2024-11-07,0.0,161.74,11.9,0.206
2024-11-08,0.0,161.79,9.3,0.134
2024-11-09,0.3,161.84,15.4,0.175
2024-11-10,0.0,161.89,14.4,0.092
2024-11-11,1.2,161.97,17.1,0.203
2024-11-12,7.1,162.05,9.3,0.573
2024-11-13,3.2,162.1,14.8,0.667
2024-11-14,0.0,162.17,11.8,0.544
2024-11-15,0.0,162.18,13.1,0.485
2024-11-16,0.0,162.23,7.9,0.405
2024-11-17,0.0,162.29,14.0,0.335
2024-11-18,0.0,162.32,12.4,0.284
2024-11-19,0.0,162.33,10.6,0.209
2024-11-20,0.0,162.35,11.8,0.24
2024-11-21,0.0,162.35,8.7,0.188
2024-11-22,0.0,162.38,8.9,0.156
2024-11-23,1.4,162.41,9.0,0.216
2024-11-24,0.0,162.44,6.0,0.205
2024-11-25,0.0,162.46,11.3,0.153
2024-11-26,0.0,162.45,11.7,0.105
2024-11-27,0.0,162.47,7.8,0.135
2024-11-28,0.0,162.5,9.7,0.093
2024-11-29,0.0,162.5,8.3,0.057
2024-11-30,0.0,162.49,9.3,0.033
2024-12-01,2.5,162.48,7.2,0.194
2024-12-02,0.0,162.45,6.5,0.139
2024-12-03,3.3,162.39,10.2,0.315
2024-12-04,0.0,162.37,7.8,0.275
2024-12-05,0.0,162.31,11.8,0.268
2024-12-06,0.0,162.28,7.7,0.211
2024-12-07,0.0,162.24,5.6,0.181
2024-12-08,0.0,162.21,9.7,0.206
2024-12-09,0.0,162.16,8.4,0.147
2024-12-10,0.0,162.1,8.4,0.131
2024-12-11,0.0,162.06,9.2,0.103
2024-12-12,0.0,162.02,5.4,0.087
2024-12-13,0.0,161.98,6.3,0.045
2024-12-14,0.0,161.92,6.0,0.1
2024-12-15,0.0,161.83,3.7,0.083
2024-12-16,2.3,161.78,5.6,0.197
2024-12-17,0.0,161.76,8.6,0.163
2024-12-18,3.1,161.69,6.3,0.338
2024-12-19,0.0,161.64,3.0,0.235
2024-12-20,0.0,161.56,2.5,0.22
2024-12-21,0.0,161.48,8.8,0.179
2024-12-22,0.0,161.39,5.1,0.213
2024-12-23,0.9,161.32,3.9,0.223
2024-12-24,0.0,161.21,4.5,0.136
2024-12-25,,161.12,2.0,0.258
2024-12-26,2.5,161.03,7.7,0.39
2024-12-27,2.7,160.93,4.0,0.484
2024-12-28,6.4,160.8,7.4,0.764
2024-12-29,,160.69,4.6,0.717
2024-12-30,0.0,160.6,7.3,0.588
2024-12-31,0.0,160.48,4.9,0.511
2023-10-28,0.0,158.48,15.5,0.344
2023-10-29,10.2,158.57,11.8,0.87
2023-10-30,0.0,158.68,11.2,0.686
